genus,query,reference,mash_ani
mtb,GCF_000008585.1,GCF_000009445.1,99.8634
mtb,GCF_000008585.1,GCF_000010685.1,99.8737
mtb,GCF_000009445.1,GCF_000010685.1,99.9856
streptomyces,GCF_000009765.2,GCF_000010605.1,81.3239
streptomyces,GCF_000009765.2,GCF_000091305.1,83.8178
streptomyces,GCF_000010605.1,GCF_000091305.1,83.2312
streptococcus,GCF_000006785.2,GCF_000006885.1,73.6978
streptococcus,GCF_000006785.2,GCF_000007045.1,73.6978
streptococcus,GCF_000006885.1,GCF_000007045.1,98.9559
