Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
streptomyces_3genomes/GCF_000009765.2_ASM976v2_genomic.fna	streptomyces_3genomes/GCF_000009765.2_ASM976v2_genomic.fna	100.00	100.00	100.00	NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence	NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence
streptomyces_3genomes/GCF_000091305.1_ASM9130v1_genomic.fna	streptomyces_3genomes/GCF_000009765.2_ASM976v2_genomic.fna	83.45	11.08	12.32	NC_013929.1 Streptomyces scabiei 87.22, complete sequence	NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence
streptomyces_3genomes/GCF_000010605.1_ASM1060v1_genomic.fna	streptomyces_3genomes/GCF_000009765.2_ASM976v2_genomic.fna	81.64	5.33	5.00	NC_010572.1 Streptomyces griseus subsp. griseus NBRC 13350, complete sequence	NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence
streptomyces_3genomes/GCF_000010605.1_ASM1060v1_genomic.fna	streptomyces_3genomes/GCF_000010605.1_ASM1060v1_genomic.fna	100.00	100.00	100.00	NC_010572.1 Streptomyces griseus subsp. griseus NBRC 13350, complete sequence	NC_010572.1 Streptomyces griseus subsp. griseus NBRC 13350, complete sequence
streptomyces_3genomes/GCF_000091305.1_ASM9130v1_genomic.fna	streptomyces_3genomes/GCF_000010605.1_ASM1060v1_genomic.fna	81.82	4.08	4.84	NC_013929.1 Streptomyces scabiei 87.22, complete sequence	NC_010572.1 Streptomyces griseus subsp. griseus NBRC 13350, complete sequence
streptomyces_3genomes/GCF_000009765.2_ASM976v2_genomic.fna	streptomyces_3genomes/GCF_000010605.1_ASM1060v1_genomic.fna	81.64	5.00	5.33	NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence	NC_010572.1 Streptomyces griseus subsp. griseus NBRC 13350, complete sequence
streptomyces_3genomes/GCF_000091305.1_ASM9130v1_genomic.fna	streptomyces_3genomes/GCF_000091305.1_ASM9130v1_genomic.fna	100.00	100.00	100.00	NC_013929.1 Streptomyces scabiei 87.22, complete sequence	NC_013929.1 Streptomyces scabiei 87.22, complete sequence
streptomyces_3genomes/GCF_000009765.2_ASM976v2_genomic.fna	streptomyces_3genomes/GCF_000091305.1_ASM9130v1_genomic.fna	83.45	12.32	11.08	NC_003155.5 Streptomyces avermitilis MA-4680 = NBRC 14893, complete sequence	NC_013929.1 Streptomyces scabiei 87.22, complete sequence
streptomyces_3genomes/GCF_000010605.1_ASM1060v1_genomic.fna	streptomyces_3genomes/GCF_000091305.1_ASM9130v1_genomic.fna	81.82	4.84	4.08	NC_010572.1 Streptomyces griseus subsp. griseus NBRC 13350, complete sequence	NC_013929.1 Streptomyces scabiei 87.22, complete sequence
