	GCF_000008585.1_ASM858v1_genomic	GCF_000009445.1_ASM944v1_genomic	GCF_000010685.1_ASM1068v1_genomic
GCF_000008585.1_ASM858v1_genomic	0.0	6341.0	6411.0
GCF_000009445.1_ASM944v1_genomic	6341.0	0.0	419.0
GCF_000010685.1_ASM1068v1_genomic	6411.0	419.0	0.0
